STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,STATION,,,,,,,,,,,
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/25/2016,0.08,",,7,0700",87,",,7",76,",,7",77,",,7,0700",513117,,,8/20/2016,,0.03,0,0.2,,0.13,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/26/2016,0.03,",,7,0700",85,",,7",77,",,7",78,",,7,0700",513117,,,8/21/2016,,0.32,,1.08,,0.08,0.12,0.41
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/27/2016,0.18,",,7,0700",84,",,7",73,",,7",73,",,7,0700",513117,,,8/22/2016,0,0.94,0,1.2,0,2.32,0.4,0.4
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/28/2016,0.14,",,7,0700",82,",,7",72,",,7",73,",,7,0700",513117,,,8/23/2016,0,0.15,0.05,0.7,0,1.79,0,0.02
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/29/2016,0.17,",,7,0700",82,",,7",73,",,7",78,",,7,0700",513117,,,8/24/2016,0,2.15,2.28,1.45,0,2.15,0.08,1.22
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/30/2016,0,",,7,0700",84,",,7",76,",,7",76,",,7,0700",513117,,,8/25/2016,0,0.08,0,0.11,0,0.06,0.08,0.21
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,8/31/2016,0.1,",,7,0700",82,",,7",76,",,7",77,",,7,0700",513117,,,8/26/2016,0,0.03,0.02,,0.04,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/1/2016,0,",,7,0700",83,",,7",77,",,7",79,",,7,0700",513117,,,8/27/2016,,0.18,0.02,0,,0.12,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/2/2016,0.02,",,7,0700",86,",,7",77,",,7",78,",,7,0700",513117,,,8/28/2016,,0.14,0.14,2.07,,0.6,0.01,0.14
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/3/2016,0.07,",,7,0700",85,",,7",75,",,7",77,",,7,0700",513117,,,8/29/2016,0,0.17,0.04,0.9,0,0.35,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/4/2016,0.03,",,7,0700",82,",,7",74,",,7",75,",,7,0700",513117,,,8/30/2016,,0,,0.05,0.02,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/5/2016,0.11,",,7,0700",87,",,7",75,",,7",78,",,7,0700",513117,,,8/31/2016,,0.1,0,2.46,0,0.24,0.13,0.25
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/6/2016,0.05,",,7,0700",85,",,7",74,",,7",74,",,7,0700",513117,,,9/1/2016,,0,0,0.01,0,0.02,0,
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/7/2016,0.1,",,7,0700",85,",,7",73,",,7",75,",,7,0700",513117,,,9/2/2016,,0.02,0.19,0.03,0,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/8/2016,0.22,",,7,0700",82,",,7",73,",,7",77,",,7,0700",513117,,,9/3/2016,,0.07,,1,,0.12,0,0.08
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/9/2016,0.01,",,7,0700",84,",,7",74,",,7",76,",,7,0700",513117,,,9/4/2016,,0.03,,0.44,,0.14,0.03,0.74
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/10/2016,0.01,",,7,0700",85,",,7",72,",,7",76,",,7,0700",513117,,,9/5/2016,,0.11,0,0.18,,0.03,0,0.02
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/11/2016,0.18,",,7,0700",82,",,7",74,",,7",76,",,7,0700",513117,,,9/6/2016,,0.05,0.04,1,0,0.11,0,0.03
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/12/2016,0.04,",,7,0700",85,",,7",73,",,7",76,",,7,0700",513117,,,9/7/2016,,0.1,0.23,1.35,,0.16,0.05,0.11
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/13/2016,0.37,",,7,0700",82,",,7",75,",,7",76,",,7,0700",513117,,,9/8/2016,,0.22,0.01,0.15,0,0.07,0,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/14/2016,0.9,",,7,0700",81,",,7",74,",,7",76,",,7,0700",513117,,,9/9/2016,,0.01,0.29,0.35,0,0.16,0.03,0.23
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/15/2016,0.12,",,7,0700",83,",,7",76,",,7",78,",,7,0700",513117,,,9/10/2016,0,0.01,,1.16,,0.09,0,0.14
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/16/2016,0.01,",,7,0700",85,",,7",76,",,7",78,",,7,0700",513117,,,9/11/2016,,0.18,,0.6,,0.3,0.05,0.12
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/17/2016,0.04,",,7,0700",84,",,7",77,",,7",78,",,7,0700",513117,,,9/12/2016,,0.04,0,1.04,0,0.31,0,0.15
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/18/2016,0,",,7,0700",82,",,7",76,",,7",78,",,7,0700",513117,,,9/13/2016,,0.37,0.32,1.2,0,0.34,0.02,0.46
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/19/2016,0.01,",,7,0700",85,",,7",75,",,7",75,",,7,0700",513117,,,9/14/2016,,0.9,1.84,6.7,0,2.33,1.32,1.19
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/20/2016,0.09,",,7,0700",82,",,7",72,",,7",78,",,7,0700",513117,,,9/15/2016,,0.12,0.07,3.35,0,0.83,0.42,0.17
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/21/2016,0.06,",,7,0700",83,",,7",72,",,7",76,",,7,0700",513117,,,9/16/2016,,0.01,0.07,0.61,0,0.06,0.06,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/22/2016,0.09,",,7,0700",82,",,7",73,",,7",77,",,7,0700",513117,,,9/17/2016,,0.04,,0.23,,0.36,0.05,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/23/2016,0.15,",,7,0700",82,",,7",75,",,7",76,",,7,0700",513117,,,9/18/2016,,0,,0.42,,0.07,0,0.04
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/24/2016,0,",,7,0700",85,",,7",76,",,7",79,",,7,0700",513117,,,9/19/2016,,0.01,0,0.25,0,0.01,0,0.05
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/25/2016,0.02,",,7,0700",86,",,7",75,",,7",77,",,7,0700",513117,,,9/20/2016,,0.09,0.25,0.43,0,0.22,0,0.04
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/26/2016,0.06,",,7,0700",84,",,7",74,",,7",77,",,7,0700",513117,,,9/21/2016,,0.06,0.02,1.02,0,0.07,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/27/2016,0.12,",,7,0700",83,",,7",76,",,7",77,",,7,0700",513117,,,9/22/2016,,0.09,0.17,0.75,0.06,0.34,0.02,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/28/2016,0.08,",,7,0700",84,",,7",76,",,7",77,",,7,0700",513117,,,9/23/2016,,0.15,0.15,0.33,0,0.94,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/29/2016,0.49,",,7,0700",85,",,7",74,",,7",76,",,7,0700",513117,,,9/24/2016,,0,0,0.27,,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,9/30/2016,0.31,",,7,0700",83,",,7",73,",,7",77,",,7,0700",513117,,,9/25/2016,,0.02,0,0.04,,0.03,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/1/2016,0.14,",,7,0700",84,",,7",74,",,7",75,",,7,0700",513117,,,9/26/2016,,0.06,0.02,1.02,0,0.17,0.06,0.34
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/2/2016,0.02,",,7,0700",84,",,7",75,",,7",77,",,7,0700",513117,,,9/27/2016,,0.12,0,1,0,0.17,0.02,0.05
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/3/2016,0.04,",,7,0700",82,",,7",76,",,7",78,",,7,0700",513117,,,9/28/2016,,0.08,0,0.05,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/4/2016,0,",,7,0700",84,",,7",78,",,7",78,",,7,0700",513117,,,9/29/2016,,0.49,0.2,1.49,0.04,0.59,0,0.18
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/5/2016,0,",,7,0700",84,",,7",77,",,7",77,",,7,0700",513117,,,9/30/2016,,0.31,0.06,0.38,0,0.25,0,0.15
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/6/2016,0.05,",,7,0700",84,",,7",76,",,7",76,",,7,0700",513117,,,10/1/2016,,0.14,0.08,1.02,,0.14,0,0.07
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/7/2016,0,",,7,0700",84,",,7",76,",,7",78,",,7,0700",513117,,,10/2/2016,,0.02,0.03,0.61,,0.06,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/8/2016,0,",,7,0700",86,",,7",75,",,7",76,",,7,0700",513117,,,10/3/2016,,0.04,0.03,0.46,0,0.16,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/9/2016,0,",,7,0700",85,",,7",75,",,7",77,",,7,0700",513117,,,10/4/2016,,0,0,3.46,0,0.03,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/10/2016,0,",,7,0700",84,",,7",71,",,7",75,",,7,0700",513117,,,10/5/2016,,0,0,0.81,0,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/11/2016,0.02,",,7,0700",81,",,7",74,",,7",77,",,7,0700",513117,,,10/6/2016,,0.05,0,0.04,0.07,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/12/2016,0.03,",,7,0700",84,",,7",75,",,7",75,",,7,0700",513117,,,10/7/2016,,0,0,0.01,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/13/2016,0,",,7,0700",84,",,7",75,",,7",78,",,7,0700",513117,,,10/8/2016,,0,,0.04,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/14/2016,0,",,7,0700",84,",,7",76,",,7",77,",,7,0700",513117,,,10/9/2016,,0,,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/15/2016,0,",,7,0700",82,",,7",76,",,7",76,",,7,0700",513117,,,10/10/2016,,0,0,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/16/2016,0,",,7,0700",84,",,7",75,",,7",75,",,7,0700",513117,,,10/11/2016,,0.02,0.04,0.35,0,0.28,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/17/2016,0.03,",,7,0700",84,",,7",74,",,7",77,",,7,0700",513117,,,10/12/2016,,0.03,0,0.02,,0.03,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/18/2016,0.05,",,7,0700",84,",,7",76,",,7",77,",,7,0700",513117,,,10/13/2016,,0,0.02,0.06,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/19/2016,0.06,",,7,0700",84,",,7",76,",,7",77,",,7,0700",513117,,,10/14/2016,,0,0,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/20/2016,0,",,7,0700",84,",,7",75,",,7",76,",,7,0700",513117,,,10/15/2016,,0,0.02,0.33,,0.04,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/21/2016,0.15,",,7,0700",84,",,7",75,",,7",76,",,7,0700",513117,,,10/16/2016,,0,,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/22/2016,0.1,",,7,0700",82,",,7",75,",,7",77,",,7,0700",513117,,,10/17/2016,,0.03,0,0.38,0,0.01,0.01,0.12
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/23/2016,0.01,",,7,0700",84,",,7",74,",,7",76,",,7,0700",513117,,,10/18/2016,,0.05,0.03,0.48,0,0.02,0,0.02
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/24/2016,0,",,7,0700",83,",,7",66,",,7",76,",,7,0700",513117,,,10/19/2016,,0.06,0,0,0,0.11,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/25/2016,0.04,",,7,0700",80,",,7",73,",,7",77,",,7,0700",513117,,,10/20/2016,,0,0.01,1,0,0,0,
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/26/2016,0.06,",,7,0700",84,",,7",74,",,7",74,",,7,0700",513117,,,10/21/2016,,0.15,0.03,0.09,0,0,0.05,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/27/2016,0.11,",,7,0700",84,",,7",73,",,7",75,",,7,0700",513117,,,10/22/2016,,0.1,,1.37,,0.15,0.15,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/28/2016,0.02,",,7,0700",84,",,7",72,",,7",77,",,7,0700",513117,,,10/23/2016,,0.01,0,0.24,,0.02,0.01,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/29/2016,0.02,",,7,0700",82,",,7",72,",,7",77,",,7,0700",513117,,,10/24/2016,,0,0.01,0.7,0,0.08,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/30/2016,0.1,",,7,0700",84,",,7",72,",,7",78,",,7,0700",513117,,,10/25/2016,,0.04,0,0.4,0.4,0.11,0.03,0.12
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,10/31/2016,0.03,",,7,0700",82,",,7",74,",,7",76,",,7,0700",513117,,,10/26/2016,,0.06,,0,0.2,0.01,0,0.02
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/1/2016,0.01,",,7,0700",83,",,7",74,",,7",77,",,7,0700",513117,,,10/27/2016,,0.11,0.2,1.25,0,0.22,0,0.08
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/2/2016,0,",,7,0700",83,",,7",72,",,7",76,",,7,0700",513117,,,10/28/2016,,0.02,0.07,0.37,0,0.05,0,0.06
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/3/2016,0,",,7,0700",82,",,7",74,",,7",74,",,7,0700",513117,,,10/29/2016,,0.02,0.26,0.25,,0.1,0,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/4/2016,0,",,7,0700",83,",,7",73,",,7",76,",,7,0700",513117,,,10/30/2016,,0.1,0.14,0.95,,0.16,0.24,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/5/2016,0.02,",,7,0700",83,",,7",72,",,7",72,",,7,0700",513117,,,10/31/2016,,0.03,0,1.35,0,0.07,0.03,0.13
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/6/2016,0.02,",,7,0700",83,",,7",72,",,7",76,",,7,0700",513117,,,11/1/2016,,0.01,0,0.09,,0.1,0,0.01
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/7/2016,0,",,7,0700",84,",,7",58,",O,7",69,",,7,0700",513117,,,11/2/2016,,0,0,0.04,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/8/2016,0.14,",,7,0700",80,",,7",69,",,7",71,",,7,0700",513117,,,11/3/2016,,0,0,0.02,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/9/2016,0.08,",,7,0700",81,",,7",69,",,7",70,",,7,0700",513117,,,11/4/2016,,0,0,0.06,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/10/2016,0,",,7,0700",83,",,7",69,",,7",69,",,7,0700",513117,,,11/5/2016,,0.02,0,0.38,,0.03,0,0.02
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/11/2016,0,",,7,0700",82,",,7",69,",,7",71,",,7,0700",513117,,,11/6/2016,,0.02,0,0.05,,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/12/2016,0,",,7,0700",83,",,7",59,",,7",68,",,7,0700",513117,,,11/7/2016,,0,0.13,0.05,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/13/2016,0,",,7,0700",84,",,7",57,",O,7",72,",,7,0700",513117,,,11/8/2016,,0.14,0.02,0.53,0,0.21,0.07,0.15
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/14/2016,0.06,",,7,0700",82,",,7",72,",,7",76,",,7,0700",513117,,,11/9/2016,,0.08,0.17,0.04,0,0.11,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/15/2016,0,",,7,0700",83,",,7",72,",,7",78,",,7,0700",513117,,,11/10/2016,,0,0,0.01,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/16/2016,0.14,",,7,0700",82,",,7",73,",,7",76,",,7,0700",513117,,,11/11/2016,,0,0,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/17/2016,0.03,",,7,0700",81,",,7",59,",,7",75,",,7,0700",513117,,,11/12/2016,,0,0,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/18/2016,0.01,",,7,0700",81,",,7",72,",,7",78,",,7,0700",513117,,,11/13/2016,,0,0,0,,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/19/2016,0.11,",,7,0700",83,",,7",72,",,7",73,",,7,0700",513117,,,11/14/2016,0.04,0.06,0.05,0.02,0.02,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/20/2016,0.11,",,7,0700",77,",,7",72,",,7",75,",,7,0700",513117,,,11/15/2016,0,0,0,0.05,0,0,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/21/2016,0.02,",,7,0700",81,",,7",71,",,7",75,",,7,0700",513117,,,11/16/2016,0.1,0.14,0.18,0.91,0,0.24,0,0.07
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/22/2016,0.41,",,7,0700",76,",,7",72,",,7",76,",,7,0700",513117,,,11/17/2016,0,0.03,0,0.02,0,0.01,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/23/2016,0.03,",,7,0700",80,",,7",72,",,7",75,",,7,0700",513117,,,11/18/2016,0,0.01,,,0,0,0,0.02
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/24/2016,0.2,",,7,0700",80,",,7",71,",,7",75,",,7,0700",513117,,,11/19/2016,0,0.11,,,,0.11,0.03,0.13
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/25/2016,0.05,",,7,0700",78,",,7",72,",,7",76,",,7,0700",513117,,,11/20/2016,0,0.11,,0,,0.39,0.05,0.4
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/26/2016,0.05,",,7,0700",78,",,7",72,",,7",76,",,7,0700",513117,,,11/21/2016,0,0.02,,2.87,0,0.11,0.01,0.07
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/27/2016,0.06,",,7,0700",80,",,7",71,",,7",75,",,7,0700",513117,,,11/22/2016,0.7,0.41,0,2.11,0,2.05,0.13,0.31
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/28/2016,0.02,",,7,0700",79,",,7",74,",,7",75,",,7,0700",513117,,,11/23/2016,0,0.03,,0.22,0,0.25,0.14,0.03
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/29/2016,0.04,",,7,0700",79,",,7",70,",,7",74,",,7,0700",513117,,,11/24/2016,,0.2,,0.72,,0.3,0.05,0.21
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,11/30/2016,0.05,",,7,0700",76,",,7",72,",,7",74,",,7,0700",513117,,,11/25/2016,0.05,0.05,0,1.03,0,0.08,0.05,0.11
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,12/1/2016,0.33,",,7,0700",78,",,7",71,",,7",73,",,7,0700",513117,,,11/26/2016,0,0.05,0.02,0.3,,0.06,0.05,0.03
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,12/2/2016,0.3,",,7,0700",76,",,7",69,",,7",71,",,7,0700",513117,,,11/27/2016,0,0.06,0.03,0.29,,0.17,0,0
USC00513117,"KANEOHE 838.1, HI US",21.4234,-157.8015,14.6,12/3/2016,0.04,",,7,0700",82,",,7",71,",,7",71,",,7,0700",513117,,,11/28/2016,0,0.02,0,0.69,0,0,0.01,0
